Simulation Number,Served Customers,Lost Customers,Unserved at Timeout,Failure Count,Avg Service Time (min),Avg Failure Duration (min),expected_arrival,expected_service,expected_failure_time,expected_failure_duration
1,218,0,133,0,2.1953809354854044,0,1.31,3.0,195.36,15.83
2,193,3,0,1,2.1425774151868437,6.780889562748758,2.51,3.0,169.64,10.0
3,215,0,21,0,2.2240526723785123,0,2.0,3.0,91.5,10.0
4,151,11,1,2,2.5925050977754145,12.857291487445517,2.96,3.49,88.93,10.0
5,240,9,5,1,1.9176011906179211,6.266994454907935,1.88,2.6,138.67,10.0
6,202,26,11,2,2.166182057213011,19.670875671939065,2.0,3.0,120.0,18.69
7,164,29,35,1,2.8578474208462414,10.026613300986881,2.05,3.86,120.0,10.0
8,154,46,81,1,3.0270852619483817,9.319529951571898,1.72,4.15,120.0,10.0
9,209,8,18,1,2.2300797057704966,10.062342877968623,2.0,3.0,176.0,10.0
10,210,18,38,1,2.1911434397201535,15.876458585292582,1.84,3.0,120.0,14.94
11,214,6,7,1,2.1984155111666253,5.171932381462996,2.09,3.0,147.73,5.18
12,123,28,95,1,3.749693592814692,12.372284448832565,1.96,4.98,89.74,10.0
13,227,8,0,1,1.7748292170724365,13.476365071934808,2.03,2.46,175.63,10.0
14,218,0,1,0,1.735965259074123,0,2.24,2.38,115.66,13.82
15,135,29,47,2,3.356107474003579,12.209241274359847,2.3,4.6,109.43,11.13
16,173,0,7,0,2.7284085864394827,0,2.69,3.7,196.17,17.78
17,207,16,17,2,2.2455140053643396,5.23220604818051,2.0,3.0,120.0,5.9
18,143,0,95,0,3.342495761987415,0,2.0,4.57,120.0,10.0
19,220,0,94,0,2.1732433092624257,0,1.52,3.0,120.0,10.0
20,215,0,23,0,2.2302235165408564,0,2.0,3.0,172.32,6.73
21,299,42,37,1,1.5441700356253665,17.080642209853735,1.25,2.17,127.13,16.56
22,205,8,10,1,2.2086402202796402,13.319249768053389,2.17,3.0,120.0,10.0
23,216,33,97,1,2.1922571954500754,6.205869474646035,1.38,3.0,117.36,9.35
24,216,0,79,0,2.214951539944395,0,1.61,3.0,129.34,9.66
25,215,13,14,1,2.1644182681729505,9.650498261414263,2.0,3.0,148.68,10.0
26,206,21,18,1,2.223914485493036,17.91840454485878,2.0,3.0,120.0,17.35
27,205,3,1,1,2.187521713377613,6.20979985276759,2.3,3.0,120.0,10.0
28,303,0,70,0,1.5717775124553612,0,1.27,2.17,120.0,11.07
29,219,11,1,2,1.9972030303349875,7.980248302361052,2.09,2.71,120.0,10.43
30,142,31,69,1,3.2507617453672446,15.439910581390501,2.0,4.52,120.0,17.87
31,237,0,1,0,1.668109843668052,0,2.0,2.28,120.0,10.0
32,216,10,12,1,2.169934402627359,7.377245952126794,2.0,3.0,120.0,10.0
33,205,0,36,0,2.3333038699493494,0,2.0,3.17,120.0,12.76
34,204,86,103,1,2.244814187247733,19.99977703039626,1.2,3.0,101.78,19.33
35,191,75,83,2,2.383907880440962,10.794360883592951,1.41,3.28,155.67,7.75
36,209,75,65,1,2.2072238673461584,16.102496762131885,1.36,3.0,170.18,16.39
37,228,4,1,1,1.7293687176734205,5.319466348756905,2.05,2.43,147.95,10.0
38,130,45,70,1,3.5952525836981386,10.173543681645564,2.0,4.88,120.0,13.51
39,251,23,2,2,1.4648491507334247,16.561684446808748,1.68,2.05,120.0,16.18
40,197,24,15,2,2.271513587354707,13.559107593055327,2.0,3.14,133.23,10.0
41,134,55,51,2,3.409434105878068,8.771144620246059,2.0,4.64,101.9,10.0
42,144,23,76,1,3.251466074057183,6.714748453424437,2.0,4.35,120.0,10.0
43,160,53,29,2,2.828649821767942,11.643159264310267,2.0,3.82,120.0,10.0
44,136,15,14,2,3.3138744663283015,10.79254455965571,2.93,4.41,89.62,10.14
45,210,13,22,1,2.184476112099506,18.533289873278903,1.92,3.0,120.0,17.06
46,205,17,25,2,2.2131136033770717,9.079494661261055,1.93,3.0,123.36,10.0
47,217,7,18,1,2.1625523205852235,8.500554075663748,2.0,3.0,139.84,11.39
48,209,59,42,2,2.2003384090371054,8.137494796626878,1.55,3.0,111.23,8.13
49,169,0,1,0,2.2779303386983067,0,2.88,3.0,120.0,10.0
50,212,11,13,2,2.181573261652488,5.136263910635346,2.0,3.0,120.0,5.17
51,208,19,15,2,2.1420977793580076,12.145599605329476,2.0,3.0,101.32,10.0
52,185,0,125,0,2.593892398555554,0,1.52,3.5,194.99,10.23
53,131,0,144,0,3.6480142172937087,0,1.8,4.89,128.61,6.63
54,209,10,15,1,2.207608504741579,16.507035187191217,2.0,3.0,165.72,14.73
55,210,48,55,2,2.161777327999145,11.653055790519353,1.58,3.0,120.0,10.0
56,211,0,152,0,2.269509566357329,0,1.34,3.18,185.93,10.49
57,209,7,1,1,2.109791896730707,12.745060161041792,2.25,2.88,120.0,10.0
58,220,82,96,1,2.118378658170675,11.683834539456392,1.21,2.9,120.0,14.29
59,143,20,46,1,3.2084684088880193,16.38045564008267,2.28,4.28,104.47,15.36
60,216,0,21,0,2.2087457583142194,0,2.0,3.0,192.79,10.0
61,212,35,107,1,2.2092188865937556,8.0910130126973,1.33,3.0,120.0,10.0
62,221,3,1,1,1.870916450739381,6.276239600691044,2.16,2.58,117.33,11.85
63,140,133,98,3,3.1646043159745503,10.07335452151061,1.27,4.32,120.0,10.0
64,211,14,53,1,2.2203015782373305,8.054608938808778,1.71,3.0,120.0,10.0
65,207,22,18,2,2.158705105576653,12.538210192276473,2.0,3.0,81.58,12.49
66,184,24,2,3,2.1900813205544667,16.701394263087458,2.34,3.0,120.0,13.75
67,225,0,37,0,2.1280691812998183,0,1.83,3.0,120.0,10.0
68,196,0,1,0,1.845204978317043,0,2.43,2.52,157.19,8.48
69,196,0,1,0,2.1448798067101276,0,2.46,3.0,120.0,10.0
70,197,31,11,3,2.2347869394771895,11.170810909285292,2.0,3.0,94.94,10.06
71,160,17,30,1,2.9145097041167753,6.6034938855620435,2.31,4.11,120.0,10.0
72,143,38,58,1,3.2543589821790726,11.440064280850287,2.0,4.53,118.21,14.9
73,161,5,1,1,2.2105363259296262,11.496228187705066,2.84,3.0,120.0,7.31
74,215,0,21,0,2.2200225360597052,0,2.0,3.0,130.82,10.0
75,174,8,1,2,2.1555944040360067,10.115880887126366,2.64,2.9,166.19,10.0
76,129,29,34,1,3.5946595025031107,11.121988984650818,2.51,4.85,125.8,17.02
77,209,16,12,1,2.2261736636992215,10.316782963214568,2.0,3.0,166.76,17.8
78,220,0,27,0,2.161853072641178,0,2.0,3.0,120.0,12.15
79,203,4,1,1,2.2185416750475415,7.7463016219816705,2.33,3.0,120.0,10.0
80,232,5,1,1,1.7733630323094678,10.44993815705146,2.0,2.43,120.0,10.0
81,166,17,1,2,1.9551718544472059,19.84470965037084,2.66,2.62,127.67,18.61
82,153,4,1,1,2.749072467449238,10.793735980017257,3.0,3.86,104.06,9.68
